Function No.,I,B,M,W,SD,SEM,Time,Runs,Iteration,Total Iterations,FE,Speedup,Success Rate
F1,1.000000e+02,6.178653e+03,1.620725e+05,5.592314e+05,1.430967e+05,2.612576e+04,8.69,30,5000,150000,250000,58.3682,0.0%
F3,3.000000e+02,3.000000e+02,3.000000e+02,3.000000e+02,1.232816e-09,2.250804e-10,5.47,30,5000,150000,250000,92.7276,100.0%
F4,4.000000e+02,4.002463e+02,4.008605e+02,4.032313e+02,8.443789e-01,1.541618e-01,9.51,30,5000,150000,250000,53.3354,0.0%
F5,5.000000e+02,5.164418e+02,5.243226e+02,5.342788e+02,4.352667e+00,7.946846e-01,10.26,30,5000,150000,250000,49.4366,0.0%
F6,6.000000e+02,6.000000e+02,6.000000e+02,6.000001e+02,1.479096e-05,2.700447e-06,10.71,30,5000,150000,250000,47.3595,100.0%
F7,7.000000e+02,7.174953e+02,7.381023e+02,7.558865e+02,8.568308e+00,1.564352e+00,15.96,30,5000,150000,250000,31.7807,0.0%
F8,8.000000e+02,8.168889e+02,8.258871e+02,8.344812e+02,4.820538e+00,8.801057e-01,12.22,30,5000,150000,250000,41.5074,0.0%
F9,9.000000e+02,9.000000e+02,9.000000e+02,9.000000e+02,1.060488e-09,1.936178e-10,1.45,30,5000,150000,250000,349.8069,100.0%
F10,1.000000e+03,1.237262e+03,1.751731e+03,2.310566e+03,2.379955e+02,4.345183e+01,15.64,30,5000,150000,250000,32.4309,0.0%
F11,1.100000e+03,1.102836e+03,1.107434e+03,1.120832e+03,4.025495e+00,7.349515e-01,20.31,30,5000,150000,250000,24.9739,0.0%
F12,1.200000e+03,6.452303e+04,1.323004e+06,5.224660e+06,1.301528e+06,2.376255e+05,24.75,30,5000,150000,250000,20.4937,0.0%
F13,1.300000e+03,1.752887e+03,2.942800e+03,7.313888e+03,1.090558e+03,1.991078e+02,26.75,30,5000,150000,250000,18.9615,0.0%
F14,1.400000e+03,1.446729e+03,1.471814e+03,1.525343e+03,1.536827e+01,2.805850e+00,27.74,30,5000,150000,250000,18.2848,0.0%
F15,1.500000e+03,1.546406e+03,1.585952e+03,1.725958e+03,3.664055e+01,6.689619e+00,26.28,30,5000,150000,250000,19.3006,0.0%
F16,1.600000e+03,1.603868e+03,1.622747e+03,1.764855e+03,2.774236e+01,5.065039e+00,33.59,30,5000,150000,250000,15.1003,0.0%
F17,1.700000e+03,1.717151e+03,1.730718e+03,1.745117e+03,5.305175e+00,9.685880e-01,37.74,30,5000,150000,250000,13.4399,0.0%
F18,1.800000e+03,2.371945e+03,6.284384e+03,1.822482e+04,3.503108e+03,6.395770e+02,31.36,30,5000,150000,250000,16.1741,0.0%
F19,1.900000e+03,1.915328e+03,1.938402e+03,1.992491e+03,1.467969e+01,2.680132e+00,39.46,30,5000,150000,250000,12.8540,0.0%
F20,2.000000e+03,2.008377e+03,2.025160e+03,2.031753e+03,5.591070e+00,1.020785e+00,38.02,30,5000,150000,250000,13.3409,0.0%
F21,2.100000e+03,2.211590e+03,2.316764e+03,2.334063e+03,3.323992e+01,6.068752e+00,292.58,30,5000,150000,250000,1.7336,0.0%
F22,2.200000e+03,2.200000e+03,2.281602e+03,2.304012e+03,3.725707e+01,6.802178e+00,321.57,30,5000,150000,250000,1.5773,3.3%
F23,2.300000e+03,2.615867e+03,2.624167e+03,2.631728e+03,3.468525e+00,6.332631e-01,312.65,30,5000,150000,250000,1.6223,0.0%
F24,2.400000e+03,2.400000e+03,2.732492e+03,2.760013e+03,7.671281e+01,1.400578e+01,341.00,30,5000,150000,250000,1.4874,3.3%
F25,2.500000e+03,2.897743e+03,2.906434e+03,2.946652e+03,1.738106e+01,3.173332e+00,318.09,30,5000,150000,250000,1.5946,0.0%
F26,2.600000e+03,2.900000e+03,2.900000e+03,2.900000e+03,5.752150e-13,1.050194e-13,490.31,30,5000,150000,250000,1.0345,0.0%
F27,2.700000e+03,3.087883e+03,3.090153e+03,3.092492e+03,1.084316e+00,1.979681e-01,507.22,30,5000,150000,250000,1.0000,0.0%
F28,2.800000e+03,3.100000e+03,3.260961e+03,3.411822e+03,1.444549e+02,2.637373e+01,454.68,30,5000,150000,250000,1.1156,0.0%
F29,2.900000e+03,3.791503e+03,1.133073e+04,3.770450e+04,8.314929e+03,1.518091e+03,384.15,30,5000,150000,250000,1.3204,0.0%
F30,3.000000e+03,3.230367e+03,3.245602e+03,3.261976e+03,9.003068e+00,1.643728e+00,503.46,30,5000,150000,250000,1.0075,0.0%
